10:29:33.266039 IP 112.26.1.8.39947 > 112.26.1.1.46615: Flags [S], seq 2081378494, win 65535, options [mss 1460,sackOK,TS val 4294857065 ecr 0,nop,wscale 6,mptcp join id 3 token 0x9485611f nonce 0x1afdb74], length 0
10:29:33.304236 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [S.], seq 2068020644, ack 2081378495, win 65535, options [mss 1460,sackOK,TS val 103384 ecr 4294857065,nop,wscale 6,mptcp join id 3 hmac 0xfcb6205695ecb3b0 nonce 0x59a1037b], length 0
10:29:33.546380 IP 112.26.1.8.39947 > 112.26.1.1.46615: Flags [.], ack 1, win 7437, options [nop,nop,TS val 4294857392 ecr 103384,mptcp join hmac 0x9287e5d5fe7fddc14c54652063e8d530afbdb977], length 0
10:29:33.548846 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], ack 1, win 4017, options [nop,nop,TS val 103664 ecr 4294857392,mptcp dss ack 2843715367], length 0
10:29:33.612133 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 1:1429, ack 1, win 4017, options [nop,nop,TS val 103665 ecr 4294857392,mptcp dss ack 2843715367 seq 3758228697 subseq 1 len 1428 csum 0x7be3], length 1428
10:29:33.695158 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 1429:2857, ack 1, win 4017, options [nop,nop,TS val 103665 ecr 4294857392,mptcp dss ack 2843715367 seq 3758230125 subseq 1429 len 1428 csum 0x370b], length 1428
10:29:33.736610 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 2857:4285, ack 1, win 4017, options [nop,nop,TS val 103665 ecr 4294857392,mptcp dss ack 2843715367 seq 3758231553 subseq 2857 len 1428 csum 0xb0d4], length 1428
10:30:00.378595 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 258469:259897, ack 1, win 4017, options [nop,nop,TS val 130494 ecr 4294883584,mptcp dss ack 2843715367 seq 3759302553 subseq 258469 len 1428 csum 0x5122], length 1428
10:30:00.458000 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 259897:261325, ack 1, win 4017, options [nop,nop,TS val 130572 ecr 4294883707,mptcp dss ack 2843715367 seq 3759303981 subseq 259897 len 1428 csum 0x52f7], length 1428
10:30:00.707509 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 261325:262753, ack 1, win 4017, options [nop,nop,TS val 130822 ecr 4294883848,mptcp dss ack 2843715367 seq 3759313977 subseq 261325 len 1428 csum 0xeb24], length 1428
10:30:01.204736 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 262753:264181, ack 1, win 4017, options [nop,nop,TS val 131321 ecr 4294884241,mptcp dss ack 2843715367 seq 3759335397 subseq 262753 len 1428 csum 0x79c5], length 1428
10:30:01.283092 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 264181:265609, ack 1, win 4017, options [nop,nop,TS val 131321 ecr 4294884241,mptcp dss ack 2843715367 seq 3759336825 subseq 264181 len 1428 csum 0x8de0], length 1428
10:30:01.355565 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 265609:267037, ack 1, win 4017, options [nop,nop,TS val 131462 ecr 4294884342,mptcp dss ack 2843715367 seq 3759343965 subseq 265609 len 1428 csum 0x9488], length 1428
10:30:01.437297 IP 112.26.1.1.46615 > 112.26.1.8.39947: Flags [.], seq 267037:268465, ack 1, win 4017, options [nop,nop,TS val 131462 ecr 4294884342,mptcp dss ack 2843715367 seq 3759345393 subseq 267037 len 1428 csum 0xe92d], length 1428
